IPv4-адрес,Критерий доступности,Сумма чисел
104.16.31.239,port_80_open,390
104.16.33.54,port_80_open,207
104.16.34.125,port_80_open,279
104.16.35.196,port_80_open,351
104.16.37.11,port_80_open,168
104.16.38.82,port_80_open,240
104.16.39.153,port_80_open,312
104.16.40.224,port_80_open,384
104.16.42.39,port_80_open,201
104.16.43.110,port_80_open,273
104.16.44.181,port_80_open,345
104.16.45.252,port_80_open,417
104.16.47.67,port_80_open,234
104.16.48.138,port_80_open,306
104.16.49.209,port_80_open,378
104.16.51.24,port_80_open,195
104.16.52.95,port_80_open,267
104.16.53.166,port_80_open,339
104.16.54.237,port_80_open,411
104.16.56.52,port_80_open,228
104.16.57.123,port_80_open,300
104.16.58.194,port_80_open,372
104.16.60.9,port_80_open,189
104.16.61.80,port_80_open,261
104.16.62.151,port_80_open,333
104.16.63.222,port_80_open,405
104.16.65.37,port_80_open,222
104.16.66.108,port_80_open,294
104.16.67.179,port_80_open,366
104.16.68.250,port_80_open,438
104.16.70.65,port_80_open,255
104.16.71.136,port_80_open,327
104.16.72.207,port_80_open,399
104.16.74.22,port_80_open,216
104.16.75.93,port_80_open,288
104.16.76.164,port_80_open,360
104.16.77.235,port_80_open,432
104.16.79.50,port_80_open,249
104.16.80.121,port_80_open,321
104.16.81.192,port_80_open,393
104.16.83.7,port_80_open,210
104.16.84.78,port_80_open,282
104.16.85.149,port_80_open,354
104.16.86.220,port_80_open,426
104.16.88.35,port_80_open,243
104.16.89.106,port_80_open,315
104.16.90.177,port_80_open,387
104.16.91.248,port_80_open,459
104.16.93.63,port_80_open,276
104.16.94.134,port_80_open,348
104.16.95.205,port_80_open,420
104.16.97.20,port_80_open,237
104.16.98.91,port_80_open,309
104.16.99.162,port_80_open,381
104.16.100.233,port_80_open,453
104.16.102.48,port_80_open,270
104.16.103.119,port_80_open,342
104.16.104.190,port_80_open,414
104.16.106.5,port_80_open,231
104.16.107.76,port_80_open,303
104.16.108.147,port_80_open,375
104.16.109.218,port_80_open,447
104.16.111.33,port_80_open,264
104.16.112.104,port_80_open,336
104.16.113.175,port_80_open,408
104.16.114.246,port_80_open,480
104.16.116.61,port_80_open,297
104.16.117.132,port_80_open,369
104.16.118.203,port_80_open,441
104.16.120.18,port_80_open,258
104.16.121.89,port_80_open,330
104.16.122.160,port_80_open,402
104.16.123.231,port_80_open,474
104.16.125.46,port_80_open,291
104.16.126.117,port_80_open,363
104.16.127.188,port_80_open,435
104.16.129.3,port_80_open,252
104.16.130.74,port_80_open,324
104.16.131.145,port_80_open,396
104.16.132.216,port_80_open,468
104.16.134.31,port_80_open,285
104.16.135.102,port_80_open,357
104.16.136.173,port_80_open,429
104.16.137.244,port_80_open,501
104.16.139.59,port_80_open,318
104.16.140.130,port_80_open,390
104.16.141.201,port_80_open,462
104.16.143.16,port_80_open,279
104.16.144.87,port_80_open,351
104.16.145.158,port_80_open,423
104.16.146.229,port_80_open,495
104.16.148.44,port_80_open,312
104.16.149.115,port_80_open,384
104.16.150.186,port_80_open,456
104.16.152.1,port_80_open,273
104.16.153.72,port_80_open,345
104.16.154.143,port_80_open,417
104.16.155.214,port_80_open,489
104.16.157.29,port_80_open,306
104.16.158.100,port_80_open,378
104.16.159.171,port_80_open,450
104.16.160.242,port_80_open,522
104.16.162.57,port_80_open,339
104.16.163.128,port_80_open,411
104.16.164.199,port_80_open,483
104.16.166.14,port_80_open,300
104.16.167.85,port_80_open,372
104.16.168.156,port_80_open,444
104.16.169.227,port_80_open,516
104.16.171.42,port_80_open,333
104.16.172.113,port_80_open,405
104.16.173.184,port_80_open,477
104.16.174.255,port_80_open,549
104.16.176.70,port_80_open,366
104.16.177.141,port_80_open,438
104.16.178.212,port_80_open,510
104.16.180.27,port_80_open,327
104.16.181.98,port_80_open,399
104.16.182.169,port_80_open,471
104.16.183.240,port_80_open,543
104.16.185.55,port_80_open,360
104.16.186.126,port_80_open,432
104.16.187.197,port_80_open,504
104.16.189.12,port_80_open,321
104.16.190.83,port_80_open,393
104.16.191.154,port_80_open,465
104.16.192.225,port_80_open,537
104.16.194.40,port_80_open,354
104.16.195.111,port_80_open,426
104.16.196.182,port_80_open,498
104.16.197.253,port_80_open,570
104.16.199.68,port_80_open,387
104.16.200.139,port_80_open,459
104.16.201.210,port_80_open,531
104.16.203.25,port_80_open,348
104.16.204.96,port_80_open,420
104.16.205.167,port_80_open,492
104.16.206.238,port_80_open,564
104.16.208.53,port_80_open,381
104.16.209.124,port_80_open,453
104.16.210.195,port_80_open,525
104.16.212.10,port_80_open,342
104.16.213.81,port_80_open,414
104.16.214.152,port_80_open,486
104.16.215.223,port_80_open,558
104.16.217.38,port_80_open,375
104.16.218.109,port_80_open,447
104.16.219.180,port_80_open,519
104.16.220.251,port_80_open,591
104.16.222.66,port_80_open,408
104.16.223.137,port_80_open,480
104.16.224.208,port_80_open,552
104.16.226.23,port_80_open,369
104.16.227.94,port_80_open,441
104.16.228.165,port_80_open,513
104.16.229.236,port_80_open,585
104.16.231.51,port_80_open,402
104.16.232.122,port_80_open,474
104.16.233.193,port_80_open,546
104.16.235.8,port_80_open,363
104.16.236.79,port_80_open,435
104.16.237.150,port_80_open,507
104.16.238.221,port_80_open,579
104.16.240.36,port_80_open,396
104.16.241.107,port_80_open,468
104.16.242.178,port_80_open,540
104.16.243.249,port_80_open,612
104.16.245.64,port_80_open,429
104.16.246.135,port_80_open,501
104.16.247.206,port_80_open,573
104.16.249.21,port_80_open,390
104.16.250.92,port_80_open,462
104.16.251.163,port_80_open,534
104.16.252.234,port_80_open,606
